Fondsposition per,"11.Mär.2021"
 
Emittententicker,Name,Anlageklasse,Gewichtung (%),Kurs,Nominale,Marktwert,Nominalwert,Sektor,ISIN,Börse,Standort,Marktwährung
"LIGHT","SIGNIFY NV","Aktien","1,80","40,01","238.523","9.543.305","9.543.305,23","Industrie","NL0011821392","Euronext Amsterdam","Niederlande","EUR"
"TKA","THYSSENKRUPP AG","Aktien","1,69","11,91","754.767","8.993.049","8.993.048,80","Materialien","DE0007500001","Xetra","Deutschland","EUR"
"FDJ","LA FRANCAISE DES JEUX SA","Aktien","1,64","38,64","225.191","8.701.380","8.701.380,24","Zyklische Konsumgüter ","FR0013451333","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"TEN","TENARIS SA","Aktien","1,62","9,91","868.432","8.606.161","8.606.161,12","Energie","LU0156801721","Borsa Italiana","Italien","EUR"
"AFX","CARL ZEISS MEDITEC AG","Aktien","1,62","126,60","67.946","8.601.964","8.601.963,60","Gesundheitsversorgung","DE0005313704","Xetra","Deutschland","EUR"
"DLG","DIALOG SEMICON PLC","Aktien","1,60","64,10","132.183","8.472.930","8.472.930,30","IT","GB0059822006","Xetra","Deutschland","EUR"
"LI","KLEPIERRE REIT SA","Aktien","1,59","21,11","401.204","8.469.416","8.469.416,44","Immobilien","FR0000121964","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"BESI","BE SEMICONDUCTOR INDUSTRIES NV","Aktien","1,58","61,90","135.285","8.374.142","8.374.141,50","IT","NL0012866412","Euronext Amsterdam","Niederlande","EUR"
"VER","VERBUND AG","Aktien","1,55","66,95","122.899","8.228.088","8.228.088,05","Versorger","AT0000746409","Wiener Boerse Ag","Österreich","EUR"
"SOF","SOFINA SA","Aktien","1,55","284,50","28.900","8.222.050","8.222.050,00","Financials","BE0003717312","Nyse Euronext - Euronext Brussels","Belgien","EUR"
"AMP","AMPLIFON","Aktien","1,50","32,96","241.947","7.974.573","7.974.573,12","Gesundheitsversorgung","IT0004056880","Borsa Italiana","Italien","EUR"
"COV","COVIVIO SA","Aktien","1,47","73,25","106.375","7.791.969","7.791.968,75","Immobilien","FR0000064578","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"SK","SEB SA","Aktien","1,45","141,30","54.613","7.716.817","7.716.816,90","Zyklische Konsumgüter ","FR0000121709","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"EVT","EVOTEC","Aktien","1,41","29,63","251.979","7.466.138","7.466.137,77","Gesundheitsversorgung","DE0005664809","Xetra","Deutschland","EUR"
"TYRES","NOKIAN RENKAAT","Aktien","1,40","31,39","237.123","7.443.291","7.443.290,97","Zyklische Konsumgüter ","FI0009005318","Nasdaq Omx Helsinki Ltd.","Finnland","EUR"
"VALMT","VALMET","Aktien","1,40","30,07","246.461","7.411.082","7.411.082,27","Industrie","FI4000074984","Nasdaq Omx Helsinki Ltd.","Finnland","EUR"
"AALB","AALBERTS NV","Aktien","1,39","41,43","178.280","7.386.140","7.386.140,40","Industrie","NL0000852564","Euronext Amsterdam","Niederlande","EUR"
"EO","FAURECIA","Aktien","1,36","46,49","155.878","7.246.768","7.246.768,22","Zyklische Konsumgüter ","FR0000121147","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"VOE","VOESTALPINE AG","Aktien","1,36","35,00","206.678","7.233.730","7.233.730,00","Materialien","AT0000937503","Wiener Boerse Ag","Österreich","EUR"
"SOI","SOITEC SA","Aktien","1,33","165,60","42.764","7.081.718","7.081.718,40","IT","FR0013227113","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"KN","NATIXIS SA","Aktien","1,33","4,10","1.717.927","7.040.065","7.040.064,85","Financials","FR0000120685","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"RHM","RHEINMETALL AG","Aktien","1,32","86,58","81.011","7.013.932","7.013.932,38","Industrie","DE0007030009","Xetra","Deutschland","EUR"
"HUH1V","HUHTAMAKI","Aktien","1,32","39,38","177.915","7.006.293","7.006.292,70","Materialien","FI0009000459","Nasdaq Omx Helsinki Ltd.","Finnland","EUR"
"RXL","REXEL SA","Aktien","1,31","15,39","452.631","6.965.991","6.965.991,09","Industrie","FR0010451203","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"IP","INTERPUMP GROUP","Aktien","1,29","44,44","153.617","6.826.739","6.826.739,48","Industrie","IT0001078911","Borsa Italiana","Italien","EUR"
"WDP","WAREHOUSES DE PAUW NV","Aktien","1,28","27,76","244.991","6.800.950","6.800.950,16","Immobilien","BE0974349814","Nyse Euronext - Euronext Brussels","Belgien","EUR"
"BKT","BANKINTER SA","Aktien","1,28","5,64","1.202.364","6.783.738","6.783.737,69","Financials","ES0113679I37","Bolsa De Madrid","Spanien","EUR"
"BOL","BOLLORE","Aktien","1,27","4,02","1.682.319","6.762.922","6.762.922,38","Kommunikation","FR0000039299","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"BIRG","BANK OF IRELAND GROUP PLC","Aktien","1,27","3,90","1.732.224","6.755.674","6.755.673,60","Financials","IE00BD1RP616","Irish Stock Exchange - All Market","Irland","EUR"
"LHA","DEUTSCHE LUFTHANSA AG","Aktien","1,26","12,11","553.523","6.703.164","6.703.163,53","Industrie","DE0008232125","Xetra","Deutschland","EUR"
"TEG","TAG IMMOBILIEN AG","Aktien","1,25","24,30","272.897","6.631.397","6.631.397,10","Immobilien","DE0008303504","Xetra","Deutschland","EUR"
"WIE","WIENERBERGER AG","Aktien","1,23","30,50","214.632","6.546.276","6.546.276,00","Materialien","AT0000831706","Wiener Boerse Ag","Österreich","EUR"
"RCO","REMY COINTREAU SA","Aktien","1,22","161,90","40.141","6.498.828","6.498.827,90","Nichtzyklische Konsumgüter","FR0000130395","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"RAA","RATIONAL AG","Aktien","1,22","683,00","9.467","6.465.961","6.465.961,00","Industrie","DE0007010803","Xetra","Deutschland","EUR"
"BAMI","BANCO BPM","Aktien","1,20","2,28","2.806.040","6.386.547","6.386.547,04","Financials","IT0005218380","Borsa Italiana","Italien","EUR"
"EVD","CTS EVENTIM AG","Aktien","1,19","57,85","109.489","6.333.939","6.333.938,65","Kommunikation","DE0005470306","Xetra","Deutschland","EUR"
"KOJAMO","KOJAMO","Aktien","1,19","16,40","385.954","6.329.646","6.329.645,60","Immobilien","FI4000312251","Nasdaq Omx Helsinki Ltd.","Finnland","EUR"
"COFB","COFINIMMO REIT SA","Aktien","1,18","125,20","50.094","6.271.769","6.271.768,80","Immobilien","BE0003593044","Nyse Euronext - Euronext Brussels","Belgien","EUR"
"PSM","PROSIEBEN SAT.1 MEDIA N","Aktien","1,18","17,88","350.093","6.257.912","6.257.912,38","Kommunikation","DE000PSM7770","Xetra","Deutschland","EUR"
"FTI","TECHNIPFMC PLC","Aktien","1,18","7,60","822.249","6.250.737","6.250.736,90","Energie","GB00BDSFG982","Nyse Euronext - Euronext Paris","Vereinigte Staaten","EUR"
"JMT","JERONIMO MARTINS SA","Aktien","1,15","13,46","453.058","6.095.895","6.095.895,39","Nichtzyklische Konsumgüter","PTJMT0AE0001","Nyse Euronext - Euronext Lisbon","Portugal","EUR"
"AED","AEDIFICA REIT SA","Aktien","1,15","98,90","61.498","6.082.152","6.082.152,20","Immobilien","BE0003851681","Nyse Euronext - Euronext Brussels","Belgien","EUR"
"MRL","MERLIN PROPERTIES REIT SA","Aktien","1,14","8,94","676.895","6.048.057","6.048.056,83","Immobilien","ES0105025003","Bolsa De Madrid","Spanien","EUR"
"RF","EURAZEO","Aktien","1,12","66,15","90.007","5.953.963","5.953.963,05","Financials","FR0000121121","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"ACKB","ACKERMANS & VAN HAAREN NV","Aktien","1,06","134,80","41.605","5.608.354","5.608.354,00","Financials","BE0003764785","Nyse Euronext - Euronext Brussels","Belgien","EUR"
"INW","INFRASTRUTTURE WIRELESS ITALIANE","Aktien","1,05","9,00","619.562","5.576.058","5.576.058,00","Kommunikation","IT0005090300","Borsa Italiana","Italien","EUR"
"LDO","LEONARDO FINMECCANICA SPA","Aktien","1,05","7,44","749.109","5.573.371","5.573.370,96","Industrie","IT0003856405","Borsa Italiana","Italien","EUR"
"BG","BAWAG GROUP AG","Aktien","1,05","43,06","129.419","5.572.782","5.572.782,14","Financials","AT0000BAWAG2","Wiener Boerse Ag","Österreich","EUR"
"ADP","AEROPORTS DE PARIS SA","Aktien","1,03","105,50","51.860","5.471.230","5.471.230,00","Industrie","FR0010340141","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"ELI","ELIA GROUP SA","Aktien","1,03","88,80","61.405","5.452.764","5.452.764,00","Versorger","BE0003822393","Nyse Euronext - Euronext Brussels","Belgien","EUR"
"FPE3","FUCHS PETROLUB PREF","Aktien","1,02","42,06","128.688","5.412.617","5.412.617,28","Materialien","DE0005790430","Xetra","Deutschland","EUR"
"ATE","ALTEN SA","Aktien","1,00","98,25","53.977","5.303.240","5.303.240,25","IT","FR0000071946","Nyse Euronext - Euronext Paris","Frankreich","EUR"
