Fondsposition per,"11.Mär.2021"
 
Emittententicker,Name,Anlageklasse,Gewichtung (%),Kurs,Nominale,Marktwert,Nominalwert,Sektor,ISIN,Börse,Standort,Marktwährung
"GME","GAMESTOP CORP CLASS A","Aktien","1,32","260,00","71.387","18.560.620","18.560.620,00","Zyklische Konsumgüter ","US36467W1099","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"MSTR","MICROSTRATEGY INC CLASS A","Aktien","0,55","803,75","9.578","7.698.318","7.698.317,50","IT","US5949724083","NASDAQ","Vereinigte Staaten","USD"
"SAIA","SAIA INC","Aktien","0,54","217,57","34.497","7.505.512","7.505.512,29","Industrie","US78709Y1055","NASDAQ","Vereinigte Staaten","USD"
"OMCL","OMNICELL INC","Aktien","0,53","133,08","56.223","7.482.157","7.482.156,84","Gesundheitsversorgung","US68213N1090","NASDAQ","Vereinigte Staaten","USD"
"CROX","CROCS INC","Aktien","0,52","82,56","88.817","7.332.732","7.332.731,52","Zyklische Konsumgüter ","US2270461096","NASDAQ","Vereinigte Staaten","USD"
"GTLS","CHART INDUSTRIES INC","Aktien","0,51","153,41","46.741","7.170.537","7.170.536,81","Industrie","US16115Q3083","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"NEO","NEOGENOMICS INC","Aktien","0,51","48,19","147.201","7.093.616","7.093.616,19","Gesundheitsversorgung","US64049M2098","NASDAQ","Vereinigte Staaten","USD"
"M","MACYS INC","Aktien","0,50","17,05","408.708","6.968.471","6.968.471,40","Zyklische Konsumgüter ","US55616P1049","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"EXPO","EXPONENT INC","Aktien","0,49","99,73","68.798","6.861.225","6.861.224,54","Industrie","US30214U1025","NASDAQ","Vereinigte Staaten","USD"
"POWI","POWER INTEGRATIONS INC","Aktien","0,48","84,34","79.230","6.682.258","6.682.258,20","IT","US7392761034","NASDAQ","Vereinigte Staaten","USD"
"ENSG","ENSIGN GROUP INC","Aktien","0,43","88,84","67.016","5.953.701","5.953.701,44","Gesundheitsversorgung","US29358P1012","NASDAQ","Vereinigte Staaten","USD"
"BKU","BANKUNITED INC","Aktien","0,42","48,99","120.068","5.882.131","5.882.131,32","Financials","US06652K1034","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"REZI","RESIDEO TECHNOLOGIES INC","Aktien","0,42","31,51","185.415","5.842.427","5.842.426,65","Industrie","US76118Y1047","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"JBT","JOHN BEAN TECHNOLOGIES CORP","Aktien","0,42","139,71","41.803","5.840.297","5.840.297,13","Industrie","US4778391049","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"SHAK","SHAKE SHACK INC CLASS A","Aktien","0,41","123,04","46.941","5.775.621","5.775.620,64","Zyklische Konsumgüter ","US8190471016","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"CBU","COMMUNITY BANK SYSTEM INC","Aktien","0,41","80,43","71.731","5.769.324","5.769.324,33","Financials","US2036071064","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"WDFC","WD-40","Aktien","0,41","312,44","18.287","5.713.590","5.713.590,28","Nichtzyklische Konsumgüter","US9292361071","NASDAQ","Vereinigte Staaten","USD"
"UFPI","UFP INDUSTRIES INC","Aktien","0,40","69,96","80.523","5.633.389","5.633.389,08","Industrie","US90278Q1085","NASDAQ","Vereinigte Staaten","USD"
"PPBI","PACFIC PREMIER BANCORP INC","Aktien","0,40","45,92","122.666","5.632.823","5.632.822,72","Financials","US69478X1054","NASDAQ","Vereinigte Staaten","USD"
"BCPC","BALCHEM CORP","Aktien","0,39","129,19","42.796","5.528.815","5.528.815,24","Materialien","US0576652004","NASDAQ","Vereinigte Staaten","USD"
"PDCE","PDC ENERGY INC","Aktien","0,39","42,02","131.027","5.505.755","5.505.754,54","Energie","US69327R1014","NASDAQ","Vereinigte Staaten","USD"
"AEIS","ADVANCED ENERGY INDUSTRIES INC","Aktien","0,39","108,70","50.501","5.489.459","5.489.458,70","IT","US0079731008","NASDAQ","Vereinigte Staaten","USD"
"ALRM","ALARM.COM HOLDINGS INC","Aktien","0,39","92,04","59.560","5.481.902","5.481.902,40","IT","US0116421050","NASDAQ","Vereinigte Staaten","USD"
"GKOS","GLAUKOS CORP","Aktien","0,38","89,14","59.784","5.329.146","5.329.145,76","Gesundheitsversorgung","US3773221029","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"IIPR","INNOVATIVE INDUSTRIAL PROPERTIES I","Aktien","0,38","180,73","29.225","5.281.834","5.281.834,25","Immobilien","US45781V1017","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"ADC","AGREE REALTY REIT CORP","Aktien","0,37","65,83","79.478","5.232.037","5.232.036,74","Immobilien","US0084921008","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
